id,iso_code,psgc2_code,region_name,psgc10_code
1,01,01,REGION I (ILOCOS REGION),010000000
2,02,02,REGION II (CAGAYAN VALLEY),020000000
3,03,03,REGION III (CENTRAL LUZON),030000000
4,40,04,REGION IV-A (CALABARZON),040000000
5,41,17,REGION IV-B (MIMAROPA),170000000
6,05,05,REGION V (BICOL REGION),050000000
7,06,06,REGION VI (WESTERN VISAYAS),060000000
8,16,18,NEGROS ISLAND REGION (NIR),180000000
9,07,07,REGION VII (CENTRAL VISAYAS),070000000
10,08,08,REGION VIII (EASTERN VISAYAS),080000000
11,09,09,REGION IX (ZAMBOANGA PENINSULA),090000000
12,10,10,REGION X (NORTHERN MINDANAO),100000000
13,11,11,REGION XI (DAVAO REGION),110000000
14,12,12,REGION XII (SOCCSKSARGEN),120000000
15,00,13,NATIONAL CAPITAL REGION (NCR),130000000
16,15,14,CORDILLERA ADMINISTRATIVE REGION (CAR),140000000
17,13,16,REGION XIII (Caraga),160000000
18,14,19,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),190000000
