iso_code,psgc_code,psgc10_code,region_name
01,01,0100000000,REGION I (ILOCOS REGION)
15,14,1400000000,CORDILLERA ADMINISTRATIVE REGION (CAR)
02,02,0200000000,REGION II (CAGAYAN VALLEY)
03,03,0300000000,REGION III (CENTRAL LUZON)
00,13,1300000000,NATIONAL CAPITAL REGION (NCR)
40,04,0400000000,REGION IV-A (CALABARZON)
41,17,1700000000,REGION IV-B (MIMAROPA)
05,05,0500000000,REGION V (BICOL REGION)
06,06,0600000000,REGION VI (WESTERN VISAYAS)
16,18,1800000000,NEGROS ISLAND REGION (NIR)
07,07,0700000000,REGION VII (CENTRAL VISAYAS)
08,08,0800000000,REGION VIII (EASTERN VISAYAS)
09,09,0900000000,REGION IX (ZAMBOANGA PENINSULA)
10,10,1000000000,REGION X (NORTHERN MINDANAO)
13,16,1600000000,REGION XIII (CARAGA)
14,19,1900000000,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
12,12,1200000000,REGION XII (SOCCSKSARGEN)
11,11,1100000000,REGION XI (DAVAO REGION)
